gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,gameDate
0022200001,1610612738,Boston,Celtics,BOS,celtics,240:00,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,9.0,2022-10-18
0022200001,1610612755,Philadelphia,76ers,PHI,sixers,240:00,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,-9.0,2022-10-18
0022200002,1610612744,Golden State,Warriors,GSW,warriors,240:00,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,14.0,2022-10-18
0022200002,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,-14.0,2022-10-18
0022200004,1610612754,Indiana,Pacers,IND,pacers,240:00,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,-7.0,2022-10-19
0022200004,1610612764,Washington,Wizards,WAS,wizards,240:00,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,16,19,114,7.0,2022-10-19
0022200011,1610612759,San Antonio,Spurs,SAS,spurs,240:00,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,-27.0,2022-10-19
0022200011,1610612766,Charlotte,Hornets,CHA,hornets,240:00,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129,27.0,2022-10-19
0022200007,1610612748,Miami,Heat,MIA,heat,240:00,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,-8.0,2022-10-19
0022200007,1610612741,Chicago,Bulls,CHI,bulls,240:00,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,14,26,116,8.0,2022-10-19
0022200005,1610612737,Atlanta,Hawks,ATL,hawks,240:00,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,10.0,2022-10-19
0022200005,1610612745,Houston,Rockets,HOU,rockets,240:00,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,15,20,107,-10.0,2022-10-19
0022200012,1610612762,Utah,Jazz,UTA,jazz,240:00,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,19,21,123,21.0,2022-10-19
0022200012,1610612743,Denver,Nuggets,DEN,nuggets,240:00,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,-21.0,2022-10-19
0022200006,1610612751,Brooklyn,Nets,BKN,nets,240:00,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,-22.0,2022-10-19
0022200006,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,12,21,130,22.0,2022-10-19
0022200010,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,7.0,2022-10-19
0022200010,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,13,26,108,-7.0,2022-10-19
0022200014,1610612758,Sacramento,Kings,SAC,kings,240:00,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,15,25,108,-7.0,2022-10-19
0022200014,1610612757,Portland,Trail Blazers,POR,blazers,240:00,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,7.0,2022-10-19
0022200009,1610612763,Memphis,Grizzlies,MEM,grizzlies,265:00,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,13,17,115,3.0,2022-10-19
0022200009,1610612752,New York,Knicks,NYK,knicks,265:00,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112,-3.0,2022-10-19
0022200013,1610612756,Phoenix,Suns,PHX,suns,240:00,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,2.0,2022-10-19
0022200013,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,-2.0,2022-10-19
0022200003,1610612765,Detroit,Pistons,DET,pistons,240:00,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,12,21,113,4.0,2022-10-19
0022200003,1610612753,Orlando,Magic,ORL,magic,240:00,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109,-4.0,2022-10-19
0022200008,1610612761,Toronto,Raptors,TOR,raptors,240:00,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,3.0,2022-10-19
0022200008,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105,-3.0,2022-10-19
0022200015,1610612755,Philadelphia,76ers,PHI,sixers,240:00,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,-2.0,2022-10-20
0022200015,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,12,16,90,2.0,2022-10-20
0022200016,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,-6.0,2022-10-20
0022200016,1610612746,LA,Clippers,LAC,clippers,240:00,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,22,24,103,6.0,2022-10-20
0022200026,1610612744,Golden State,Warriors,GSW,warriors,240:00,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,18,23,123,-5.0,2022-10-21
0022200026,1610612743,Denver,Nuggets,DEN,nuggets,240:00,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128,5.0,2022-10-21
0022200019,1610612764,Washington,Wizards,WAS,wizards,240:00,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,16,22,102,2.0,2022-10-21
0022200019,1610612741,Chicago,Bulls,CHI,bulls,240:00,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100,-2.0,2022-10-21
0022200027,1610612757,Portland,Trail Blazers,POR,blazers,265:00,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,18,19,113,2.0,2022-10-21
0022200027,1610612756,Phoenix,Suns,PHX,suns,265:00,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,16,29,111,-2.0,2022-10-21
0022200024,1610612745,Houston,Rockets,HOU,rockets,240:00,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,-7.0,2022-10-21
0022200024,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129,7.0,2022-10-21
0022200021,1610612751,Brooklyn,Nets,BKN,nets,240:00,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,109,4.0,2022-10-21
0022200021,1610612761,Toronto,Raptors,TOR,raptors,240:00,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,13,21,105,-4.0,2022-10-21
0022200020,1610612737,Atlanta,Hawks,ATL,hawks,240:00,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,10.0,2022-10-21
